Total Daily Sunspots,Northern Total Daily Sunspots,Southern Total Daily Sunspots,Earthquake,Magnitude,Longitude,Latitude,OutagesCount,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp,Year,Month
-1.021874799,-0.8830249506,-1.004803783,-1.068218757,0.8453857937,-116.47,34.385,0,-0.5697736715,-0.6362148551,-0.4037958278,-0.9213046516,0.9971217028,-0.4080793092,-1.239801821,-0.2531728704,-1.2531998,1996,3
-1.127520906,-1.008047138,-1.075697583,-1.15672203,0.5704072429,-118.8628333,37.6266667,0,-0.821561048,-0.600034393,-0.9582168618,-0.9522288889,1.011941576,-0.4365002858,-1.171996289,-0.2700356318,-1.460074106,1996,4
-1.108976643,-1.066881109,-0.9842548554,-1.379921072,0.9904571093,-116.708,34.255,0,-0.4799242343,-0.5308658626,-1.169009688,-0.9992760191,0.9941114161,-0.4202846366,-1.12861114,-0.2565454227,-0.9585606377,1996,5
-0.9634322721,-0.6245757227,-1.150701168,-1.136925245,1.374344605,-60.9,16.986,0,-0.2950015552,-0.5553408811,-1.229529283,-1.013813054,0.960187801,-0.4010176555,-1.125233853,-0.2801532886,-1.071401168,1996,6
-1.035923484,-1.051122009,-0.8660985223,-1.2172769,1.734915584,159.779,51.722,0,-0.5112670612,-0.7043192542,-1.566490078,-1.013020125,0.9185069087,-0.3893354136,-1.200053751,-0.2599179749,-0.9585606377,1996,7
-0.8988083236,-0.7769136822,-0.8835651106,-1.480845857,1.565396869,-70.372,-32.409,0,-0.7076821101,-0.9331074701,-1.652140691,-0.9657086846,0.9392315746,-0.3293549475,-1.028331694,-0.2734081841,-0.9522917193,1996,8
-1.190459013,-1.088943848,-1.111658206,-1.355854393,1.300896348,-118.9393333,37.639,0,-0.8152924827,-1.12252283,-0.5443243785,-0.9448282167,0.93714753,-0.2652769788,-0.9872846664,-0.2835258409,-1.485149779,1996,9
-1.229795329,-1.089994454,-1.182552006,-1.438146909,1.107079585,-155.5681667,19.4403333,0,-0.698279262,-1.128907618,-0.157614425,-0.9154898378,0.9098233895,-0.2120966237,-1.109906165,-0.2666630795,-1.510225452,1996,10
-0.8212595855,-0.8410006859,-0.6791032821,-1.424949053,1.781663605,14.833,45.717,0,-0.462163299,-0.9905705569,-0.4012314381,-0.8679140881,0.9034554754,-0.1431365239,-1.527390803,-0.2666630795,-1.585452473,1996,11
-0.9977110621,-0.9155937557,-0.9287727511,-1.41058668,1.308850014,-117.642,36.096,0,-0.647085978,-0.8479769712,-0.2432650381,-0.7812204998,0.9264957464,-0.09152542527,-0.9335078649,-0.2767807363,-0.9899052294,1996,12
-1.112348327,-1.019603811,-1.03665462,-1.722288995,1.554758362,-152.5262,59.742,0,-0.8027553519,-0.7564616848,-0.3935382693,-0.7680050138,0.9083182461,-0.08437659066,-0.9433799348,-0.2801532886,-1.090207923,1997,1
-1.068516432,-0.9260998219,-1.047956531,-0.8523949875,0.5302611504,-122.8281667,38.8436667,0,-0.9281266597,-0.6447279049,-0.4407230382,-0.7539965986,0.8823834687,-0.07696621331,-1.006509223,-0.2902709454,-0.5197363532,1997,2
-1.030865957,-0.9324034616,-0.9729529452,-1.305780173,1.829457386,-123.0578333,39.3006667,0,-0.5593260625,-0.6042909179,-0.07709259123,-0.721486503,0.8704581023,-0.07129945417,-0.9384438999,-0.3037611545,-0.4257025779,1997,3
-0.8538525334,-0.9387071013,-0.643142659,-1.406704957,2.074055828,-116.447,34.289,0,0.2211103286,-0.4148755578,0.1737047128,-0.703513442,0.8430181815,-0.0882997316,-0.92857183,-0.3071337068,-0.8081065973,1997,4
-0.7993436378,-0.4627823036,-1.008913568,-1.532860938,1.654840237,-155.2841667,19.4215,0,0.875130651,-0.3680537834,-0.04631991589,-0.7386666348,0.8345662228,-0.08359196247,-0.8394634102,-0.29701605,-0.4758539247,1997,5
-0.8915030077,-0.6886627264,-0.9565138032,-1.59186312,0.7993006633,-155.2131667,19.361,0,2.116306598,-0.4851082194,-0.4771373707,-0.7257154585,0.8285456495,-0.06057620225,-0.8625848369,-0.3138788114,0.2325338488,1997,6
-1.01737922,-0.8021282411,-1.075697583,-1.0480338,0.3116983337,148.724,-5.914,0,2.585404242,-0.618124624,-1.331591989,-0.7048349906,0.8005268274,-0.03860661295,-0.8755744025,-0.3003886023,0.2638784405,1997,7
-0.6195204769,-0.2516103735,-0.8866474498,-1.359736115,0.5758286141,-122.7158333,38.768,0,2.841370662,-0.8458487087,-1.402369143,-0.690297956,0.7608141994,0.003937671098,-0.7181408677,-0.3105062591,0.4770216644,1997,8
-0.2345865232,-0.1770173037,-0.2557953757,-1.202138183,0.6428510526,-177.967,-20.485,0,2.840325901,-1.046969512,-0.1032493653,-0.6525016659,0.7576881325,0.09983667202,-1.001053606,-0.3037611545,0.7967365003,1997,9
-0.6700957409,-0.2799767522,-0.9513765714,-0.8838369396,0.4116945872,-121.5611667,36.6008333,0,2.169589404,-1.004404263,0.370649835,-0.6049259163,0.7640560466,0.1687095909,-0.3349486832,-0.3105062591,0.9722662141,1997,10
-0.3913698416,-0.05094450956,-0.6657464792,0.9265984242,-0.6198176427,-172.949,-16.61,0,2.336751148,-0.820309559,0.3265423337,-0.6030757482,0.7670663333,0.1861457728,-0.5630454547,-0.3239964682,0.7465851535,1997,11
-0.274484787,0.06987525145,-0.5701939664,0.3113454114,-0.2179876536,-118.9488333,37.6343333,0,2.12988849,-0.6191887553,0.2855120999,-0.5525925916,0.7523622407,0.1833559837,-0.4521145647,-0.3374866773,1.229291866,1997,12
-0.4661088428,-0.604614197,-0.2609326076,0.2593303302,-0.4086914749,-118.8568333,37.6433333,0,2.300184516,-0.5287376001,-0.2781407368,-0.4899511879,0.7317533551,0.1913766274,-0.258050455,-0.3476043341,0.9785351324,1998,1
-0.451498211,-0.6644987742,-0.1756545585,-1.472306067,1.218933894,-122.1866667,46.2008333,0,2.607344221,-0.4436071012,-0.5930477811,-0.4762070824,0.7072079407,0.1997459948,-0.3692411363,-0.357721991,2.564571475,1998,2
0.18687401,-0.5436790132,0.87336819,-0.6544271412,0.6398584024,-122.8168333,38.8105,0,2.577046154,-0.321232009,-0.1555629133,-0.520082496,0.662632542,0.1875406674,-0.610847056,-0.3678396478,1.191678356,1998,3
-0.05195362548,-0.6602963477,0.5507500284,-1.161380097,1.154287144,-141.8988,60.654,0,2.498689087,-0.1637405859,0.1398547699,-0.5480993264,0.6002269838,0.1864944965,0.08045762387,-0.3779573046,1.743343171,1998,4
0.04751106036,0.01839552719,0.06887767866,-1.229698412,1.404596768,-176.691,-14.919,0,1.972129594,-0.07009703706,0.1767819803,-0.542813132,0.5755657892,0.2176180813,-0.2528546288,-0.3847024092,1.505124274,1998,5
0.2846528537,0.1255574022,0.3976605186,-0.7316734185,-0.1708399032,-121.0761667,36.4958333,0,0.88557826,-0.1275601238,0.07318064002,-0.5007878864,0.5555358048,0.2487416662,-0.01124870909,-0.3914475137,1.561544539,1998,6
0.4425600669,0.186492586,0.6267810601,-0.7406013802,0.137495684,-118.7993333,37.5888333,0,0.003800061699,-0.2563200035,-0.7751194435,-0.4682777908,0.5693136553,0.2511827316,0.4823547828,-0.3981926183,2.01290666,1998,7
0.8673922844,1.281224681,0.3329313969,-0.9238186811,0.3748755436,-122.7331667,38.7593333,0,-0.7223087627,-0.4638255947,-1.052073522,-0.4479259423,0.5689663145,0.2806498792,0.07084534534,-0.4015651706,1.793494518,1998,8
0.9842773389,1.143595215,0.681235718,-1.058126279,0.3826466365,-122.4465,38.7683333,0,-0.9908123136,-0.6532409548,-0.336095942,-0.426516855,0.5836704071,0.3536203008,0.04642496206,-0.4049377228,0.4394081543,1998,9
0.1256217459,0.4680551595,-0.2280543236,-1.421843675,1.049306716,128.718,-6.709,0,-1.180958797,-0.6170604928,0.4998950714,-0.3762980081,0.6397080512,0.4632067046,0.72941632,-0.4083102751,0.4958284195,1998,10
0.3992901188,0.4081705823,0.3308765042,-1.512675981,1.469414147,-70.205,-33.059,0,-1.516327045,-0.4925571381,1.060983518,-0.294097685,0.6347295002,0.4536168045,0.5111916183,-0.4083102751,0.07581089004,1998,11
0.8347993365,1.258111336,0.2959433275,-1.66445133,1.559089737,-122.188,46.1976667,0,-1.351254824,-0.3265526651,1.29998463,-0.2140118398,0.6225725733,0.4699196347,0.8078732961,-0.4083102751,0.5898621947,1998,12
0.2565554849,0.6708222366,-0.1869564686,-1.452897455,1.188394226,-116.155,32.817,0,-1.494387067,-0.2158830165,0.9578950561,-0.1915455135,0.595827334,0.4884019876,1.087408747,-0.4083102751,0.2262649304,1999,1
0.3003873803,0.5972797734,-0.03489440518,-1.602731943,1.908708702,153.579,-4.561,0,-1.587370787,-0.1243677301,0.3624437882,-0.1963030885,0.5593565533,0.4970328976,0.4696250085,-0.4083102751,1.317056723,1999,2
0.5622548583,0.8431217219,0.2034731537,-1.390401723,2.141963459,-98.216,16.268,0,-1.409761434,-0.05839159346,0.5388737935,-0.229870423,0.5179072215,0.4999970486,0.7668262689,-0.4116828274,-0.2501728641,1999,3
